Facility ID,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate
30113,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30114,READM-30-HIP-KNEE-HRRP,451,0.9986,3.7747,3.78
30114,READM-30-HF-HRRP,265,0.9781,17.8865,18.2872
30114,READM-30-COPD-HRRP,108,1.0267,16.6947,16.2604
30114,READM-30-AMI-HRRP,114,0.9739,10.801,11.0907
30114,READM-30-PN-HRRP,219,1.08,14.8435,13.744
30114,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30115,READM-30-PN-HRRP,294,0.9844,17.7547,18.0352
30115,READM-30-HF-HRRP,234,0.9258,20.1176,21.73
30115,READM-30-COPD-HRRP,N/A,0.972,18.4883,19.0201
30115,READM-30-AMI-HRRP,84,1.0227,15.2441,14.9054
30115,READM-30-HIP-KNEE-HRRP,N/A,1.1304,5.4174,4.7925
30115,READM-30-CABG-HRRP,N/A,0.9995,11.5823,11.5881
30117,READM-30-HF-HRRP,55,1.0951,21.8362,19.9396
30117,READM-30-HIP-KNEE-HRRP,N/A,0.9755,4.0322,4.1335
30117,READM-30-COPD-HRRP,68,1.0025,18.8238,18.7764
30117,READM-30-AMI-HRRP,N/A,1.0222,12.5392,12.2672
30117,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30117,READM-30-PN-HRRP,85,1.0374,15.6881,15.1229
